#Buffer Length
5
#Requested Page [,Slot1,Slot2,...,SlotUsage1,SlotUsage2,...]
12,12,None,None,None,None,0,None,None,None,None
3,12,3,None,None,None,1,0,None,None,None
9,12,3,9,None,None,2,1,0,None,None
13,12,3,9,13,None,3,2,1,0,None
1,12,3,9,13,1,4,3,2,1,0
9,12,3,9,13,1,5,4,0,2,1
12,12,3,9,13,1,0,5,1,3,2
1,12,3,9,13,1,1,6,2,4,0
5,12,5,9,13,1,2,0,3,5,1
11,12,5,9,11,1,3,1,4,0,2
2,12,5,2,11,1,4,2,0,1,3
11,12,5,2,11,1,5,3,1,0,4
3,3,5,2,11,1,0,4,2,1,5
9,3,5,2,11,9,1,5,3,2,0
4,3,4,2,11,9,2,0,4,3,1
13,3,4,13,11,9,3,1,0,4,2
0,3,4,13,0,9,4,2,1,0,3
0,3,4,13,0,9,5,3,2,0,4
11,11,4,13,0,9,0,4,3,1,5
2,11,4,13,0,2,1,5,4,2,0
9,11,9,13,0,2,2,0,5,3,1
8,11,9,8,0,2,3,1,0,4,2
8,11,9,8,0,2,4,2,0,5,3
13,11,9,8,13,2,5,3,1,0,4
4,4,9,8,13,2,0,4,2,1,5
1,4,9,8,13,1,1,5,3,2,0
6,4,6,8,13,1,2,0,4,3,1
10,4,6,10,13,1,3,1,0,4,2
11,4,6,10,11,1,4,2,1,0,3
7,7,6,10,11,1,0,3,2,1,4
#Used Algorithm: LRU
#Swap/Request Ratio: 24/30 [0.8]
