#Buffer Length
5
#Requested Page [,Slot1,Slot2,...,SlotUsage1,SlotUsage2,...]
12,12,None,None,None,None,0,None,None,None,None
3,12,3,None,None,None,1,0,None,None,None
9,12,3,9,None,None,2,1,0,None,None
13,12,3,9,13,None,3,2,1,0,None
1,12,3,9,13,1,4,3,2,1,0
9,12,3,9,13,1,5,4,3,2,1
12,12,3,9,13,1,6,5,4,3,2
1,12,3,9,13,1,7,6,5,4,3
5,5,3,9,13,1,0,7,6,5,4
11,5,11,9,13,1,1,0,7,6,5
2,5,11,2,13,1,2,1,0,7,6
11,5,11,2,13,1,3,2,1,8,7
3,5,11,2,3,1,4,3,2,0,8
9,5,11,2,3,9,5,4,3,1,0
4,4,11,2,3,9,0,5,4,2,1
13,4,13,2,3,9,1,0,5,3,2
0,4,13,0,3,9,2,1,0,4,3
0,4,13,0,3,9,3,2,1,5,4
11,4,13,0,11,9,4,3,2,0,5
2,4,13,0,11,2,5,4,3,1,0
9,9,13,0,11,2,0,5,4,2,1
8,9,8,0,11,2,1,0,5,3,2
8,9,8,0,11,2,2,1,6,4,3
13,9,8,13,11,2,3,2,0,5,4
4,9,8,13,4,2,4,3,1,0,5
1,9,8,13,4,1,5,4,2,1,0
6,6,8,13,4,1,0,5,3,2,1
10,6,10,13,4,1,1,0,4,3,2
11,6,10,11,4,1,2,1,0,4,3
7,6,10,11,7,1,3,2,1,0,4
#Used Algorithm: FIFO
#Swap/Request Ratio: 24/30 [0.8]
